id;first_name;last_name;email;avatar;avatar_content_type;gender;birth_date;phone_number;address_id;user_id
1;Lexie;Senger;Josianne98@yahoo.com;../fake-data/blob/hipster.png;image/png;MALE;2020-11-26T12:42:37;Data SCSI Credi;1;1
2;Robb;Wehner;Justus_Hirthe62@gmail.com;../fake-data/blob/hipster.png;image/png;FEMALE;2020-11-25T22:46:43;teal;2;2
3;Liliane;Kub;Jessy.Von@hotmail.com;../fake-data/blob/hipster.png;image/png;FEMALE;2020-11-25T23:45:55;relationships L;3;2
4;Lulu;Runte;Reynold.Halvorson80@hotmail.com;../fake-data/blob/hipster.png;image/png;MALE;2020-11-26T17:17:00;lime Digitized ;4;2
5;Candida;Mraz;Terry_Gutkowski4@yahoo.com;../fake-data/blob/hipster.png;image/png;FEMALE;2020-11-26T17:04:55;redundant magne;5;2
6;Delmer;Heaney;Phyllis.Mayert@hotmail.com;../fake-data/blob/hipster.png;image/png;FEMALE;2020-11-26T09:00:56;Maine cross-pla;6;2
7;Olga;Langworth;Francesca_Heathcote36@hotmail.com;../fake-data/blob/hipster.png;image/png;FEMALE;2020-11-26T06:08:26;Avon;7;1
8;Glennie;Johnson;Kyra_Daniel@gmail.com;../fake-data/blob/hipster.png;image/png;FEMALE;2020-11-26T14:23:34;bi-directional;8;1
9;Timmy;Heidenreich;Gerald_Lebsack@hotmail.com;../fake-data/blob/hipster.png;image/png;FEMALE;2020-11-26T01:03:21;Coves;9;1
10;Kyla;Mosciski;Kian47@hotmail.com;../fake-data/blob/hipster.png;image/png;FEMALE;2020-11-26T07:11:38;Programmable;10;1
